,id,context,question,answers
0,YJ95VF1770,"Aplicatii & notificari (disponibil cand telefonul este in apropiere);
Stocare si redare muzica;Ecran always-on (necesita o incarcare mai frecventa a bateriei);Autonomie baterie +5 zile (autonomnia bateriei variaza in functie de folosire si alti factori);Plata cu ceasul Fitbit Pay.",Ce tip de ecran conduce la o încărcare mai rară a dispozitivului?,"{'text': ['Ecran always-o', 'Ecran always-on'], 'answer_start': [96, 95]}"
1,YL83VU1211,"Utilizati senzorul Pulse Ox pentru a verifica saturatia de oxigen din sange in orice moment din zi, sau pentru o parte din noapte, in timpul somnului, pentru a arata cat de bine absoarbe corpul dvs. oxigen.
",Ce senzor este utilizat pentru observarea temperaturii corpului?,"{'text': ['senzorul Pulse Ox ', 'Pulse Ox'], 'answer_start': [11, 19]}"
2,DA68SX6997,"Poate fi scufundat pana la 50 de metri, de asemenea Amazfit GTR suporta diferite stiluri de inot.	Amazfit GTR accepta 12 moduri de exercitiu mainstream. Acestea sunt alergari in aer liber, mers, ciclism in aer liber, ciclism in interior, banda de alergare, antrenor eliptic, urcare, trasee, inot in piscina, inot in apa deschisa, schi, exercitii fizice.",Câte moduri de exerciții profesioniste oferă dispozitivul?,"{'text': ['12 moduri de exercitiu mainstream', 'Amazfit GTR accepta 12 moduri de exercitiu mainstream'], 'answer_start': [119, 98]}"
3,TP61GG6784,"Combina frigoriﬁca independenta poate ﬁ acum incorporata in mobila de bucatarie. Sistemul de deschidere a usii la 90º permite integrarea perfecta a combinei frigoriﬁce in bucataria ta, fara a iesi din linia mobilierului.Incastrarea  condensatorului in peretii laterali permite eﬁcientizarea spatiului in bucataria ta.	",Ce sistem de închidere a ușilor are dispzoitivul?,"{'text': ['la 90º ', 'Sistemul de deschidere a usii la 90º'], 'answer_start': [112, 81]}"
4,ZJ97KL5342,"Frigiderele de sine statatoare de la Miele cu tehnologia Click2open au un mecanism de deschidere deosebit de usor si elegant. Actiunea de deschidere asistata permite mai usor contracararea efectului de vid din frigider, ceea ce permite deschiderea mai usoara a aparatului. Mecanismul Click2open dispare in peretele lateral al usii, oferind mai mult spatiu pentru noul design exterior.	",Ce mecanism face mai ușoară închiderea ușilor?,"{'text': ['Click2open', 'Mecanismul Click2open'], 'answer_start': [58, 273]}"
5,AF88XY3440,Sertarul Crispzone.Sertar mare pentru fructe si legume.Sertarul spatios CrispZone este proiectat pentru a pastra nutrientii si pentru a prelungi prospetimea alimentelor. Datorita temperaturii scazute produsele alimentare isi pastreaza calitatile pentru mai mult timp.,Care este denumirea sertarului care permite scăderea temperaturii pînă la 2 grade?,"{'text': ['Sertarul Crispzone', 'CrispZone'], 'answer_start': [1, 72]}"
6,PE47WS5286,DoorCooling+™.Racire cu pana la 32%* mai rapida si mai uniforma.Aerisirile din partea frontala a frigiderului mentin temperatura pentru a pastra alimentele proaspete.,Care este rolul aerisirilor din partea laterală?,"{'text': ['mentin temperatura pentru a pastra alimentele proaspete', 'Aerisirile din partea frontala'], 'answer_start': [111, 64]}"
7,GZ22OI3120,"WiFi: Control de la distanta, prin WiFi, cu ajutorul aplicatiei specifice si telefonului mobil inteligent.-15°C Racire: Functionare in modul de racire pana la temperatura exterioara de -15oC.-15°C Incalzire: Functionare in modul de incalzire pana la temperatura exterioara de -15oC",Care este temperatura maximă exterioară la care dispozitivul funcționează în modul răcire?,"{'text': ['-15oC', '-15°C'], 'answer_start': [186, 106]}"
8,ES30DU9549,"Functia PacePro, prima de acest fel, va ajuta sa va mentineti ritmul prin indicatii in functie de gradient in timp ce alergati pe un anumit traseu.Vizualizati in ce mod afecteaza diversele setari si senzorii ceasului durata de viata a bateriei ceasului, astfel incat sa puteti efectua din mers modificari destinate prelungirii duratei de viata a bateriei.

",Care este succesorul prmei funcții de menținere a ritmului în funcție de gradient?,"{'text': ['PacePro', 'Functia PacePro'], 'answer_start': [9, 0]}"
9,HL57XJ9615,"Aplicatia de fitness din ceas va permite sa urmariti in orice moment progresul dvs. catre obiectivele dvs. Aplicatia de fitness este accesibila de pe ecranul de pornire al ceasului dvs. si ofera o gazda o activitate urmarita. Alergarea, mersul cu bicicleta, mersul pe jos, inotul, inclusiv sporturile preferate, cum ar fi fotbalul, baschetul, voleiul si antrenamentul imens popular care cuprinde globul.",De unde este accesibilă aplicația meteo?,"{'text': ['de pe ecranul de pornire al ceasului', 'Aplicatia de fitness este accesibila de pe ecranul de pornire al ceasului'], 'answer_start': [145, 107]}"
10,YI62YS2447,"Viteza TURBO: Setare rapida a vitezei maxime a ventilatorului unitatii interioare, in modul racire sau incalzire.8°C incalzire: Activare automata a modului de incalzire cand temperatura ambientala interioara atinge 8oC, pentru mentinerea acestei temperaturi",Care este temperatura la care modul de încălzire este oprit?,"{'text': ['8oC', '8°C'], 'answer_start': [216, 113]}"
11,AU44CH8392,"Gratie tehnologiei Flex incorporate in tel si formei speciale, cu Wizzo poti bate albusuri foarte pufoase si aerate, chiar pornind de la 1 ou.Datorita miscarii planetare, accesoriile pentru patiserie si telul acopera toata suprafata bolului pentru rezultate de mixare omogene.	",Care este numărul maxim de albușuri care pot fi bătute?,"{'text': ['1', '1 ou'], 'answer_start': [138, 137]}"
12,KL39NO8869,"Esti pasionat de moda, atunci stii ca trebuie sa ai neaparat in garderoba ta cel putin o tinuta de culoarea neagra. Programul Darkcare este special conceput pentru obiectele de imbracaminte de culoare inchisa, sintetice sau din bumbac. Acesta previne decolorarea si pastreaza intensitatea culorilor hainelor, ca noi.
",Care este programul recomandat pentru spălarea hainelor deschise la culoare?,"{'text': ['Darkcare', 'Programul Darkcare'], 'answer_start': [127, 116]}"
13,WI21CF6817,"In functie de gradul de murdarire si tipul tesaturii cele 9 programe scurte iti permit sa economisesti energie si timp. Masina de spalat Candy Rapido are cele mai multe programe rapide din toata gama de masini de spalat de pe piata.
",Care este mașina cu cele mai puține programe scurte?,"{'text': ['Masina de spalat Candy Rapido', 'Candy Rapido are cele mai multe programe rapide'], 'answer_start': [121, 137]}"
14,KO16IS1379,"Puteti selecta numarul de rotatii, care reprezinta viteza maxima de stoarcere, pana la 1400 de rotatii pe minut. Alegeti numarul de rotatii potrivit tipului de haine folosit si programului. preferat.",Care este numărul minim de rotații pe minut?,"{'text': ['1400', '1400 de rotatii pe minut'], 'answer_start': [88, 87]}"
15,PU89DA9092,"Optiunea Steam Hygiene.Sustinut de Allergy UK, aceasta optiune va mentine rufele proaspete si perfect curate. Aburul este injectat direct in tambur, la sfarsitul ciclului de spalare, eliminand pana la 99,9% din bacteriile cele mai comune, fiind perfect pentru asternuturi si prosoape.
","Care este opțiune care contribuie la eliminarea a 99,9% din bacteriile mai puțin comune?","{'text': ['Steam Hygiene', 'Optiunea Steam Hygiene'], 'answer_start': [10, 0]}"
16,KZ74WA3097,"Silent Tech.Tehnologia Silent-Tech asigura o spalare mult mai silentioasa datorita motorului ProSmart Inverter si a peretilor laterali care sunt proiectati astfel incat zgomotul sa fie redus. Functionare silentioasa, pentru confort deplin!",Care este tehnologia concepută pentru reducerea volumului de vibrații?,"{'text': ['Silent Tech', 'Tehnologia Silent-Tech'], 'answer_start': [1, 12]}"
17,CK43KR5415,"Acum cu functia speciala Beko Add Garment puteti adauga orice articol de care ati uitat in primele minute ale ciclului de spalare selectat. Daca nivelul apei nu atinge rama inferioara a usii poti sa selectezi butonul pauza, sa adaugi articolele de imbracaminte uitate si sa apesi butonul add garment pentru continuarea ciclului de spalare.
",Ce buton trebuie acționat daca se dorește adăugarea unui articol atunci când procesul de spălare a început și nivelul de apă a atins rama inferioară?,"{'text': ['butonul pauza', 'butonul add garment'], 'answer_start': [210, 280]}"
18,CT25EU3739,"Pentru a va asigura ca veti avea intotdeauna cea mai buna spalare posibila, este foarte important ca masina de spalat sa fie curata in interior. Programul Eco Dum Clean indeparteaza murdaria din tambur si 99,9% dintre bacteriile care cauzeaza mirosuri neplacute, fara sa utilizati detergenti abrazivi sau scumpi. In plus, te anunta cand e necesara curatarea.
",Care este programul care îndepărtează condensul format la nivelul tamburului?,"{'text': ['Eco Dum Clean', 'Programul Eco Dum Clean'], 'answer_start': [156, 145]}"
19,ZC42RR1471,"Acum poti descarca mult mai simplu programele pe care ti le doresti, cu ajutorul programului de download, direct de pe interfata electrocasnicelor tale dotate cu HomeWhiz. Ai posibilitatea sa selectezi programul dorit din setul de 5 programe prestabilite si il poti modifica cu usurinta de cate ori ai nevoie. Cele 5 programe prestabilite sunt: Mix, Curtain, Lingerie, Soft Toys, Towel.",Care sunt cele 5 programe scurte ale dispozitivului?,"{'text': ['Mix, Curtain, Lingerie, Soft Toys, Towel', 'Cele 5 programe prestabilite sunt: Mix, Curtain, Lingerie, Soft Toys, Towel'], 'answer_start': [346, 310]}"
20,ZC54UL5285,"Functia Kilo Detector te va ajuta sa optimizezi timpul de spalare. Introduci cantitatea de rufe in cuva si functia Kilo Detector iti va regla cantitatea de apa necesara si va stabili durata programului de spalare (in functie de cantitatea de rufe si tipul de tesatura).Kilo Detector este functia care te ajuta sa economisesti energie electrica, apa si timp alocat spalarii rufelor.",Care este funcția care permite reglarea nivelului de apă în funcție de grosimea rufelor?,"{'text': ['Kilo Detector ', 'Functia Kilo Detector'], 'answer_start': [9, 0]}"
21,AI81WC3524,"Active Drum este un motor inverter modern care realizeaza 10 miscari diferite ale tamburului in timpul programului de indepartare a petelor. Ca urmare, tesaturile sunt mai relaxate, iar detergentul poate patrunde mai usor pentru a indeparta murdaria.
",Câte mișcări realizează tamburul în timpul stoarcerii?,"{'text': ['10', '10 miscari diferite'], 'answer_start': [59, 58]}"
22,QS82GQ4646,"Tipul de masina de spalat rufe standard este cea mai intalnita varianta, deoarece poate fi plasata oriunde, atat timp cat este conectata la un canal de scurgere si la o instalatie de apa. Masina de spalat cu incarcare frontala este un model clasic, datorita hubloului transparent prin care poti observa usor ce se intampla cu rufele tale.",Care este tipul de încărcare mai rar întâlnit?,"{'text': ['frontala', 'Masina de spalat cu incarcare frontala'], 'answer_start': [219, 188]}"
